timestamp,bulk_consumption,1_building,2_building,3_building,4_building,5_building,6_building,7_building,leakage
01-01-2020 00:00,70.208,5.84375,6.87,0.853,12.081,2.456,4.66926,60.25,0
01-01-2020 01:00,97.712,7.53125,9.625,0.841,15.298,3.453,5.78163,80.25,0
01-01-2020 02:00,92.368,7.53125,9.179,0.873,16.369,3.138,5.85975,80.3125,0
01-01-2020 03:00,110.272,8.0625,9.133,1.13,14.006,2.753,5.46913,80.3125,0
01-01-2020 04:00,108.16,7.625,9.086,1.289,17.392,2.762,5.60976,80.3125,0
01-01-2020 05:00,127.776,7.6875,9.41,1.358,14.034,2.79,5.76601,80.3125,1
01-01-2020 06:00,83.84,6.74675,9.473,0.854,30.398,2.733,16.02537,80.3125,0
01-01-2020 07:00,29.248,7.70275,6.791,0.851,31.209,2.727,17.84337,80.3125,0
01-01-2020 08:00,0.464,17.944,6.417,0.847,35.37,3.103,33.357,80.3125,0
01-01-2020 09:00,0,30.767,8.17,1.332,51.589,3.918,57.95,80.25,0
01-01-2020 10:00,0,41.522,18.066,2.363,68.433,4.493,79.828,80.3125,0
01-01-2020 11:00,0,48.311,18.937,1.752,79.537,5.588,94.073,80.3125,0
01-01-2020 12:00,0,51.486,19.462,1.943,84.813,5.274,101.928,80.3125,0
01-01-2020 13:00,0,51.577,19.886,2.163,63.506,6.156,103.487,80.3125,0
01-01-2020 14:00,15.968,52.196,19.776,2.514,21.395,6.679,104.694,80.25,0
01-01-2020 15:00,3.552,46.08425,19.878,2.605,71.125,6.839,91.14075,80.3125,0
01-01-2020 16:00,42.016,43.193,20.022,2.533,57.426,6.607,84.888,80.3125,0
01-01-2020 17:00,56.032,33.107,19.993,1.471,54.325,6.295,62.542,80.25,0
01-01-2020 18:00,106.112,20.086,19.655,1.399,33.12,6.149,35.559,80.25,0
01-01-2020 19:00,102.448,8.5995,20.109,1.375,14.589,5.605,18.97475,80.3125,0
01-01-2020 20:00,103.296,6.384,12.856,1.25,16.561,5.278,7.50401,80.25,0
01-01-2020 21:00,103.456,7.6875,9.936,1.126,14.702,4.875,5.68487,80.3125,0
01-01-2020 22:00,99.728,7.875,9.852,1.124,18.051,4.401,6.02963,80.25,0
01-01-2020 23:00,94.896,7.71875,9.595,1.129,14.232,4.027,6.10776,80.3125,0
02-01-2020 00:00,97.136,7.53125,9.678,1.124,15.999,3.6,5.54726,80.25,0
02-01-2020 01:00,94.384,8.375,9.174,1.12,16.276,3.479,5.53164,80.3125,0
02-01-2020 02:00,95.424,7.65625,9.697,1.339,13.848,3.117,5.78263,80.3125,0
02-01-2020 03:00,116.496,7.46875,9.208,1.13,17.218,2.79,5.81388,80.3125,0
02-01-2020 04:00,139.168,7.96875,9.534,1.275,14.623,2.815,5.61075,80.25,1
02-01-2020 05:00,133.504,10.03125,9.073,1.375,35.18,2.749,6.68889,80.3125,0
02-01-2020 06:00,97.984,7.2485,9.161,0.847,35.987,2.7,15.63937,80.3125,0
02-01-2020 07:00,92.624,7.524,9.974,1.132,37.228,2.837,17.905,80.375,0
02-01-2020 08:00,77.328,14.404,12.659,1.126,33.983,3.274,27.378,80.25,0
02-01-2020 09:00,167.584,23.583,18.07,1.183,40.735,3.665,45.029,80.3125,0
02-01-2020 10:00,166.192,30.796,18.863,1.378,48.103,4.458,67.5965,80.3125,0
02-01-2020 11:00,144.336,37.8575,18.904,1.677,58.825,4.675,67.95687,80.25,0
02-01-2020 12:00,138.352,42.55625,18.824,1.815,71.227,5.268,83.112,80.3125,0
02-01-2020 13:00,148.432,48.02425,18.552,2.257,81.193,6.28,95.665,80.3125,0
02-01-2020 14:00,190.8,51.186,18.684,2.531,84.362,7.045,101.749,80.3125,0
02-01-2020 15:00,238.928,48.669,18.983,2.733,78.368,7.314,96.719,80.25,0
02-01-2020 16:00,263.232,41.0125,18.781,2.687,65.538,7.241,81.83713,80.3125,0
02-01-2020 17:00,219.04,32.1915,19.066,1.666,52.764,7.493,74.23812,80.25,0
02-01-2020 18:00,211.152,33.0205,19.005,1.583,32.925,7.148,74.82387,80.25,0
02-01-2020 19:00,149.04,40.06425,18.963,1.936,21.796,7.525,68.42563,80.3125,0
02-01-2020 20:00,106.848,30.17925,21.734,1.846,19.941,5.879,25.06387,80.25,0
02-01-2020 21:00,101.808,11.59375,13.1,1.397,17.511,4.489,7.04425,80.3125,0
02-01-2020 22:00,97.312,8.03125,9.278,0.853,17.268,4.438,6.06088,80.3125,0
02-01-2020 23:00,93.488,8.09375,9.036,1.13,12.894,3.775,6.15663,80.25,0
03-01-2020 00:00,96.304,8.09375,9.219,1.127,16.689,3.546,5.54725,80.3125,0
03-01-2020 01:00,98.416,8.09375,9.567,0.846,14.894,3.462,5.8285,80.3125,0
03-01-2020 02:00,95.28,8.15625,9.223,1.339,15.691,3.505,5.90663,80.25,0
03-01-2020 03:00,112.272,8.5,9.604,0.846,14.407,3.347,5.40764,80.3125,0
03-01-2020 04:00,109.648,8.3125,9.149,1.272,16.808,3.052,5.42226,80.3125,0
03-01-2020 05:00,204.736,8.125,9.415,1.373,14.038,3.14,6.42325,80.125,1
03-01-2020 06:00,243.872,23.50675,9.038,0.845,36.73,2.601,48.60862,80.3125,1
03-01-2020 07:00,190.96,83.061,9.271,0.561,37.679,2.9,57.022,80.3125,0
03-01-2020 08:00,157.808,56.23175,8.114,1.261,39.03,3.004,65.27887,80.3125,0
03-01-2020 09:00,156.064,55.725,20.922,1.295,39.359,4.516,53.05462,80.25,0
03-01-2020 10:00,132.576,88.98475,18.299,1.44,44.096,4.411,44.78688,80.3125,0
03-01-2020 11:00,145.152,82.02075,18.722,1.627,48.707,3.8,56.287,80.3125,0
03-01-2020 12:00,146.016,120.49825,18.529,1.93,64.492,7.077,75.8975,80.3125,0
03-01-2020 13:00,211.536,127.57175,20.046,2.21,75.618,6.447,91.39124,80.25,0
03-01-2020 14:00,235.168,137.6765,19.582,2.638,67.227,6.999,85.53614,80.3125,0
03-01-2020 15:00,266.704,135.99775,19.29,2.928,53.256,7.074,82.58887,80.3125,0
03-01-2020 16:00,308.256,134.73125,18.915,3.172,46.302,7.259,84.20763,80.25,0
